line_name,line_id,entry_ras_x,entry_ras_y,entry_ras_z,tip_ras_x,tip_ras_y,tip_ras_z,length_mm,cylinder_radius_mm,cylinder_model_name,screw_type
T2L,,10.75,73.85,-63.51,3.78,54.05,-77.08,25,2.5,T2L_Cylinder,poly
T2R,,-15.04,70.85,-59.66,-8.76,52.41,-75.32,25,2.5,T2R_Cylinder,poly
T3L,,5.61,87.04,-79.99,-1.12,61.28,-93.8,30,2.25,T3L_Cylinder,poly
T3R,,-19.45,84.15,-77.45,-10.22,60.16,-92.91,30,2.25,T3R_Cylinder,poly
T4L,,0.41,97.17,-99.41,-2.84,65.62,-114.2,35,2.25,T4L_Cylinder,poly
T4R,,-22.05,94.22,-97.97,-11.79,64.76,-113.83,35,2.25,T4R_Cylinder,poly
T5L,,-2.07,105.39,-121.54,-5.67,72.22,-132.14,35,2.25,T5L_Cylinder,poly
T5R,,-24.19,102.8,-119.11,-15.16,71.15,-131.02,35,2.25,T5R_Cylinder,poly
T6L,,-5.7,110.41,-145.58,-8.06,76.54,-154.08,35,2.25,T6L_Cylinder,poly
T6R,,-26.34,108.28,-144.34,-17.66,75.62,-153.45,35,2.25,T6R_Cylinder,poly
T7L,,-6.24,112.95,-170.2,-8.38,73.29,-174.92,40,2.5,T7L_Cylinder,poly
T7R,,-27.74,110.8,-169.4,-18.51,72.21,-174.53,40,2.5,T7R_Cylinder,poly
T8L,,-7.12,111.54,-195.27,-8.86,71.76,-199.1,40,2.5,T8L_Cylinder,poly
T8R,,-29.45,109.51,-194.61,-19.55,70.98,-198.74,40,2.5,T8R_Cylinder,poly
T9L,,-5.52,110.99,-220.46,-7.54,71.12,-222.97,40,2.75,T9L_Cylinder,poly
T9R,,-28.99,108.97,-220.18,-20.07,70.07,-222.92,40,2.75,T9R_Cylinder,poly
T10L,,-4.55,109.46,-248.4,-7.73,69.85,-243.88,40,2.5,T10L_Cylinder,poly
T10R,,-29.62,106.28,-247.96,-18.78,68.0,-243.77,40,2.5,T10R_Cylinder,poly
T11L,,-4.2,103.79,-276.9,-5.93,64.23,-271.26,40,2.75,T11L_Cylinder,poly
T11R,,-29.18,101.07,-276.55,-19.56,62.65,-270.95,40,2.75,T11R_Cylinder,poly
T12L,,-1.64,98.44,-305.45,-5.64,59.36,-297.91,40,2.75,T12L_Cylinder,poly
T12R,,-30.99,96.93,-305.62,-22.16,58.68,-297.94,40,2.75,T12R_Cylinder,poly
L1L,,1.93,90.84,-338.18,-6.39,47.98,-327.25,45,2.75,L1L_Cylinder,poly
L1R,,-33.1,89.03,-339.32,-20.79,47.36,-327.59,45,2.75,L1R_Cylinder,poly
L2L,,4.23,79.58,-371.64,-5.44111111111111,41.7933333333333,-362.768888888889,40,2.75,L2L_Cylinder,poly
L2R,,-31.52,78.09,-372.42,-20.24,40.8811111111111,-363.015555555556,40,2.75,L2R_Cylinder,poly
L3L,,8.18,70.33,-405.98,-1.85,27.23,-397.79,45,3.25,L3L_Cylinder,poly
L3R,,-30.82,67.82,-407.94,-16.39,26.22,-398.66,45,3.25,L3R_Cylinder,poly
L4L,,11.9,64.03,-438.21,3.49,19.85,-436.62,45,3.25,L4L_Cylinder,poly
L4R,,-29.65,58.84,-442.36,-11.63,17.83,-438.11,45,3.25,L4R_Cylinder,poly
